payment_id,invoice_id,customer_id,amount,payment_method,payment_date,status,transaction_ref,processor_fee,net_amount
PAY-98363,INV-00965,342,136.0,credit_card,2024-03-16T08:41:28-04:00,completed,TXN-VHCSJNFDUD,3.94,132.06
PAY-98364,INV-01089,314,959.79,ach,2024-03-26T14:05:54-04:00,completed,TXN-ZVHUSKQEZW,4.8,954.99
PAY-98365,INV-01126,023,254.1,credit_card,2024-03-03T04:06:55-05:00,completed,da157bd5-a032-40fc-a5b8-338621abaa38,7.37,246.73
PAY-98366,INV-00693,397,44.62,ach,2024-03-13T01:50:00-04:00,completed,8927e316-eaea-46d8-9111-84c95233247c,0.22,44.4
PAY-98367,INV-01380,393,44.52,wire,2024-03-15T15:08:34-04:00,completed,TXN-OPJSPAFUBB,0.04,44.48
PAY-98368,INV-00508,219,284.2,wire,2024-03-18T10:24:28-04:00,pending,2b754f3e-e283-4550-abdc-4bef3c42d455,0.0,284.2
PAY-98369,INV-01134,311,331.94,wire,2024-03-16T01:30:13-04:00,completed,3f4e2986-e6df-4e3d-be8e-3042476d46bc,0.33,331.61
PAY-98370,INV-00277,459,923.42,wire,2024-03-24T20:34:07-04:00,failed,da697345-b466-4b8d-8143-a3029a0ec7b4,0.0,923.42
PAY-98371,INV-00683,C072,44.45,credit_card,2024-03-23T00:29:38-04:00,pending,TXN-SAEIATPOMF,0.0,44.45
PAY-98372,INV-00960,474,45.9,check,2024-03-27T01:31:14-04:00,completed,f05c0e38-d6b5-434d-ae10-ddff17dae2d5,0.0,45.9
PAY-98373,INV-00857,C181,49.92,wire,2024-03-09T13:56:42-05:00,completed,e9512e47-d954-44e0-8c33-8569c20144e3,0.05,49.87
PAY-98374,INV-00497,088,161.39,ach,2024-03-13T12:55:07-04:00,completed,TXN-OLDHNZCAJP,0.81,160.58
PAY-98375,INV-00137,119,46.25,credit_card,2024-03-25T07:00:24-04:00,pending,TXN-ZWRTFRWDIC,0.0,46.25
PAY-98376,INV-01151,156,407.71,ach,2024-03-04T20:48:10-05:00,completed,312c0fcf-75f9-4511-86f8-ddc90a94c308,2.04,405.67
PAY-98377,INV-01399,204,328.93,credit_card,2024-03-29T09:19:03-04:00,pending,b2f88973-dafe-4cbb-8e21-e28ce0dabcec,0.0,328.93
PAY-98378,INV-00723,065,43.98,check,2024-03-02T04:10:57-05:00,completed,TXN-RTJSLKKUQT,0.0,43.98
PAY-98379,INV-01306,412,406.61,ach,2024-03-20T09:14:30-04:00,completed,TXN-ROCITUMJQS,2.03,404.58
PAY-98380,INV-00308,428,41.77,ach,2024-03-12T06:05:19-04:00,completed,TXN-REHUVITDVD,0.21,41.56
PAY-98381,INV-00410,299,82.43,check,2024-03-26T20:29:28-04:00,completed,TXN-WVCVNXTNQA,0.0,82.43
PAY-98382,INV-01208,264,135.26,wire,2024-03-29T21:28:41-04:00,completed,TXN-SEPXYLASAK,0.14,135.12
PAY-98383,INV-00664,219,222.49,ach,2024-03-03T19:40:48-05:00,completed,2541248f-3fd2-4bdd-bcb1-c393a0b709f6,1.11,221.38
PAY-98384,INV-01400,362,226.88,check,2024-03-01T08:38:37-05:00,completed,59c836c6-1efe-4f8a-ab99-0495b43e4193,0.0,226.88
PAY-98385,INV-01111,462,149.51,ach,2024-03-28T16:45:42-04:00,completed,44a3f8fb-604e-4e27-892d-59c12ee623d4,0.75,148.76
PAY-98386,INV-00284,342,965.0,wire,2024-03-20T15:25:05-04:00,completed,TXN-XNTFXXPAZX,0.96,964.04
PAY-98387,INV-00851,222,370.45,wire,2024-03-16T17:46:13-04:00,completed,TXN-BTPXUTHZVZ,0.37,370.08
PAY-98388,INV-00455,453,151.1,check,2024-03-11T05:25:26-04:00,completed,4820a5bd-ec04-4697-9ef8-a37523ed7603,0.0,151.1
PAY-98389,INV-00665,C090,136.39,credit_card,2024-03-17T14:02:57-04:00,failed,TXN-WMDKJCQFYI,0.0,136.39
PAY-98390,INV-00178,C074,389.27,check,2024-03-05T16:37:06-05:00,completed,7d3d5856-7df1-4d5c-ac61-a52c93652f5c,0.0,389.27
PAY-98391,INV-00286,044,469.21,credit_card,2024-03-15T20:25:57-04:00,completed,2f98295e-6d6b-4c5e-b447-77b3f8f38391,13.61,455.6
PAY-98392,INV-00544,258,44.83,check,2024-03-13T07:25:45-04:00,completed,befad0d2-9998-48cb-9b6b-edf669d1be77,0.0,44.83
PAY-98393,INV-00234,C143,126.07,credit_card,2024-03-26T06:47:41-04:00,completed,a253d82b-d5fb-4c01-9bd5-a2f0a3a43f59,3.66,122.41
PAY-98394,INV-00163,468,52.84,check,2024-03-28T09:48:05-04:00,completed,TXN-SWLSNUKZOU,0.0,52.84
PAY-98395,INV-00496,452,349.88,wire,2024-03-17T17:52:00-04:00,pending,50b218bc-338a-4953-a42a-d65583d5a831,0.0,349.88
PAY-98396,INV-01367,108,130.05,credit_card,2024-03-21T13:55:02-04:00,completed,c3ea1790-4a20-481b-8dbd-d18b186dbd5e,3.77,126.28
PAY-98397,INV-00832,218,133.2,check,2024-03-12T14:34:23-04:00,completed,ef65c7b0-f4d4-4dd8-ae9e-de286215a839,0.0,133.2
PAY-98398,INV-01347,393,44.13,credit_card,2024-03-17T06:53:20-04:00,pending,e8aa4341-221a-4b20-9f06-9a70d8e21bb4,0.0,44.13
PAY-98399,INV-00132,083,372.14,ach,2024-03-04T21:43:42-05:00,completed,c1d6e00b-3981-4d0c-8a50-e505f8ff70ff,1.86,370.28
PAY-98400,INV-01255,119,145.98,ach,2024-03-15T16:01:16-04:00,completed,309b4c2c-a2e1-49d2-9552-c58d74b8a856,0.73,145.25
PAY-98401,INV-00598,043,382.61,credit_card,2024-03-21T06:04:01-04:00,completed,284a4902-4660-4b06-9107-4a597173432a,11.1,371.51
PAY-98402,INV-00810,190,403.01,wire,2024-03-31T05:59:17-04:00,completed,4503b326-6234-401f-bd20-b324ce44d543,0.4,402.61
PAY-98403,INV-01233,207,426.83,check,2024-03-21T18:53:40-04:00,completed,TXN-UHMCPRHXCD,0.0,426.83
PAY-98404,INV-00998,084,48.53,check,2024-03-16T14:09:24-04:00,completed,3cf26250-c934-4a88-ba1e-8189e6a029af,0.0,48.53
PAY-98405,INV-00834,231,46.22,ach,2024-03-05T11:21:00-05:00,refunded,TXN-OGSEJRFUEX,0.0,46.22
PAY-98406,INV-00301,278,416.36,check,2024-03-13T19:57:47-04:00,completed,94bcf70c-1dea-4c7f-83f2-e89e5054ae0e,0.0,416.36
PAY-98407,INV-00562,089,352.42,credit_card,2024-03-02T17:53:22-05:00,completed,TXN-DEYPCCIUXO,10.22,342.2
PAY-98408,INV-00353,369,382.24,ach,2024-03-10T01:13:58-05:00,failed,TXN-KZKFULUJLD,0.0,382.24
PAY-98409,INV-00458,274,40.85,ach,2024-03-30T13:04:56-04:00,completed,ecda94cf-9f70-444c-883b-263250feb050,0.2,40.65
PAY-98410,INV-00033,394,145.16,credit_card,2024-03-21T06:52:28-04:00,completed,f3c5d616-1987-489e-886f-daaf16ece1a5,4.21,140.95
PAY-98411,INV-00714,144,151.23,ach,2024-03-15T08:21:04-04:00,pending,5687c6ec-e78e-479e-abfd-7cc8dd1d0c1e,0.0,151.23
PAY-98412,INV-00413,045,88.2,check,2024-03-06T18:52:32-05:00,completed,TXN-OJOTYKYAST,0.0,88.2
PAY-98413,INV-01026,C081,134.87,ach,2024-03-05T00:50:13-05:00,completed,TXN-RLLSPLQFHD,0.67,134.2
PAY-98414,INV-00444,342,924.58,check,2024-03-27T03:37:31-04:00,failed,TXN-NIIPAHSXFI,0.0,924.58
PAY-98415,INV-01351,159,53.79,wire,2024-03-13T01:57:42-04:00,completed,TXN-DYCDSJSKMV,0.05,53.74
PAY-98416,INV-01043,203,49.54,wire,2024-03-30T10:33:34-04:00,completed,f767b60d-78c0-4377-947e-ee60393cce1f,0.05,49.49
PAY-98417,INV-00150,219,51.49,wire,2024-03-16T09:08:59-04:00,completed,3688fbbd-79f5-46ae-af3b-7a91d0814732,0.05,51.44
PAY-98418,INV-01341,361,132.07,credit_card,2024-03-23T00:44:29-04:00,completed,TXN-MBISGXAXAI,3.83,128.24
PAY-98419,INV-00743,148,40.64,wire,2024-03-09T14:11:35-05:00,pending,TXN-HINVFSHDSJ,0.0,40.64
PAY-98420,INV-01265,058,914.7,check,2024-03-06T15:53:15-05:00,completed,c8be0e9d-c403-4a96-9bfa-d9a775dd0b93,0.0,914.7
PAY-98421,INV-01343,485,376.95,ach,2024-03-18T12:04:35-04:00,completed,14a9f374-69b2-4e4f-b124-4f6477fea5f6,1.88,375.07
PAY-98422,INV-00749,115,362.95,check,2024-03-16T12:32:33-04:00,completed,94406f7d-a47e-4db0-b710-5a6981bcb400,0.0,362.95
PAY-98423,INV-01388,328,42.13,check,2024-03-07T22:19:33-05:00,completed,TXN-LFONYASWVU,0.0,42.13
PAY-98424,INV-00621,003,47.05,credit_card,2024-03-01T14:18:18-05:00,completed,TXN-GRLQCSPLTX,1.36,45.69
PAY-98425,INV-00583,463,156.45,wire,2024-03-28T06:36:03-04:00,completed,62d4ac88-e86d-4ab1-adc0-3e263002e5a4,0.16,156.29
PAY-98426,INV-00461,C314,912.32,check,2024-03-04T22:16:42-05:00,completed,f2735369-1cda-49b0-9f98-f87780254b7e,0.0,912.32
PAY-98427,INV-00068,C461,422.04,check,2024-03-23T08:52:09-04:00,completed,111d7c07-e72f-4d10-97ca-2706fb27227c,0.0,422.04
PAY-98428,INV-00018,268,385.81,credit_card,2024-03-17T23:54:05-04:00,completed,eb0d099f-34a0-4cc6-bc8d-0de37c455075,11.19,374.62
PAY-98429,INV-01106,475,358.19,ach,2024-03-13T03:52:15-04:00,completed,9210095a-f4c6-4b00-8756-7947fd3b585d,1.79,356.4
PAY-98430,INV-00983,401,404.3,wire,2024-03-10T21:20:41-04:00,completed,TXN-WXAYUSJQFK,0.4,403.9
PAY-98431,INV-00087,481,47.46,check,2024-03-25T08:45:45-04:00,completed,TXN-LUIDWKTFRO,0.0,47.46
PAY-98432,INV-01225,120,390.04,wire,2024-03-19T01:16:02-04:00,completed,TXN-QCATDSGXXW,0.39,389.65
PAY-98433,INV-01375,157,118.06,credit_card,2024-03-20T21:27:16-04:00,failed,TXN-LBWZYBEDTK,0.0,118.06
PAY-98434,INV-01234,497,45.62,credit_card,2024-03-08T01:34:37-05:00,completed,e05f1642-41b8-43c8-bceb-640fe5dc101d,1.32,44.3
PAY-98435,INV-00292,361,45.09,credit_card,2024-03-17T21:47:59-04:00,completed,TXN-VOOVRJWSNA,1.31,43.78
PAY-98436,INV-01112,393,401.46,check,2024-03-30T11:07:20-04:00,completed,a02655cf-c71e-43d4-babb-c13638203a2c,0.0,401.46
PAY-98437,INV-00716,018,40.81,ach,2024-03-16T02:34:14-04:00,completed,1cd06307-34b4-4d98-b466-0e8d26733e7d,0.2,40.61
PAY-98438,INV-00120,481,418.91,ach,2024-03-26T11:23:55-04:00,completed,8fabe76c-cdc6-4aa7-ab50-cdd4ee43ab15,2.09,416.82
PAY-98439,INV-00705,230,46.59,ach,2024-03-17T07:29:01-04:00,completed,TXN-PVSWUFTVWM,0.23,46.36
PAY-98440,INV-01148,C474,46.93,ach,2024-03-23T06:48:44-04:00,refunded,a9f19c78-9b0d-4063-be96-c8f9756e9630,0.0,46.93
PAY-98441,INV-00502,339,384.15,check,2024-03-21T03:32:16-04:00,completed,a10d9ebf-cf8b-4d23-acc0-e94bb4a5b78f,0.0,384.15
