invoice_id,customer_id,subscription_id,invoice_date,due_date,amount,currency,status,line_items_count,tax_amount,total_amount,period_start,period_end,created_at
INV-00001,203,SUB-0585,2024-01-01,2024-01-31,49.89,USD,paid,5,4.33,54.22,2024-01-01,2024-01-31,2024-01-01
INV-00002,255,SUB-0445,2024-01-01,2024-01-31,0.0,USD,paid,7,0.0,0.0,2024-01-01,2024-01-31,2024-01-01
INV-00003,463,SUB-0586,2024-01-01,2024-01-31,958.05,USD,paid,5,75.92,1033.97,2024-01-01,2024-01-31,2024-01-01
INV-00004,325,SUB-0244,2024-01-01,2024-01-31,53.87,USD,paid,3,0.48,54.35,2024-01-01,2024-01-31,2024-01-01
INV-00005,370,SUB-0432,2024-01-01,2024-01-31,148.95,USD,paid,6,2.78,151.73,2024-01-01,2024-01-31,2024-01-01
INV-00006,245,SUB-0651,2024-01-01,2024-01-31,156.2,USD,paid,2,11.41,167.61,2024-01-01,2024-01-31,2024-01-01
INV-00007,495,SUB-0265,2024-01-01,2024-01-31,52.13,USD,paid,1,0.6,52.73,2024-01-01,2024-01-31,2024-01-01
INV-00008,223,SUB-0047,2024-01-01,2024-01-31,1098.85,USD,pending,4,101.9,1200.75,2024-01-01,2024-01-31,2024-01-01
INV-00009,333,SUB-0162,2024-01-01,2024-01-31,46.76,USD,paid,6,1.4,48.16,2024-01-01,2024-01-31,2024-01-01
INV-00010,369,SUB-0215,2024-01-01,2024-01-31,45.27,USD,paid,3,0.75,46.02,2024-01-01,2024-01-31,2024-01-01
INV-00011,155,SUB-0333,2024-01-01,2024-01-31,49.88,USD,void,3,2.03,51.91,2024-01-01,2024-01-31,2024-01-01
INV-00012,003,SUB-0773,2024-01-01,2024-01-31,48.17,USD,paid,1,1.36,49.53,2024-01-01,2024-01-31,2024-01-01
INV-00013,423,SUB-0361,2024-01-01,2024-01-31,433.87,USD,disputed,7,38.64,472.51,2024-01-01,2024-01-31,2024-01-01
