payment_id,invoice_id,customer_id,amount,payment_method,payment_date,status,transaction_ref,processor_fee,net_amount
PAY-73038,INV-01186,027,41.11,credit_card,2024-02-29T18:19:30-05:00,completed,6b944a08-d432-4361-881d-537e91203097,1.19,39.92
PAY-73039,INV-00025,088,160.19,ach,2024-02-05T13:51:55-05:00,completed,4df6e162-1832-4c5d-8e40-8934c3cbb3a0,0.8,159.39
PAY-73040,INV-00334,393,40.28,check,2024-02-29T13:34:53-05:00,completed,29a1c914-5133-4f58-8f56-b1f1827cb5cc,0.0,40.28
PAY-73041,INV-00396,478,139.46,check,2024-02-21T15:09:34-05:00,refunded,bbfb522e-8dfe-436c-b2ad-7a3168c96567,0.0,139.46
PAY-73042,INV-00816,210,132.06,wire,2024-02-13T22:50:10-05:00,refunded,a79bbcaa-915d-4bb6-bd9f-96ad8651f07c,0.0,132.06
PAY-73043,INV-00052,398,157.27,ach,2024-02-20T22:25:30-05:00,completed,TXN-LXLSXNSYBV,0.79,156.48
PAY-73044,INV-01218,360,466.93,ach,2024-02-23T15:31:05-05:00,completed,TXN-MRKSQPIYZM,2.33,464.6
PAY-73045,INV-00300,C062,264.78,credit_card,2024-02-08T08:52:25-05:00,pending,76d6b3ad-f326-4f39-9ab6-db344108bae0,0.0,264.78
PAY-73046,INV-01356,C463,912.16,credit_card,2024-02-21T18:32:20-05:00,completed,7946df96-d300-4164-9305-f176a3c272bb,26.45,885.71
PAY-73047,INV-00085,061,44.85,check,2024-02-06T18:19:06-05:00,pending,TXN-GLINIAJLWG,0.0,44.85
PAY-73048,INV-01164,409,143.7,check,2024-02-08T23:44:42-05:00,completed,TXN-OAIBZTISUB,0.0,143.7
PAY-73049,INV-01048,066,134.41,check,2024-02-25T15:11:38-05:00,completed,TXN-PZTXDLKADR,0.0,134.41
PAY-73050,INV-01116,361,134.25,ach,2024-02-07T01:41:25-05:00,completed,TXN-BPZPCNIYMO,0.67,133.58
PAY-73051,INV-00292,361,50.12,wire,2024-02-01T03:24:15-05:00,completed,TXN-JBWELTQTWD,0.05,50.07
PAY-73052,INV-00621,474,132.68,check,2024-02-03T06:28:17-05:00,completed,0556d7be-5ce9-45ac-8ade-3e3cf02b31bc,0.0,132.68
PAY-73053,INV-00581,023,47.23,ach,2024-02-20T20:20:57-05:00,completed,fe0791a1-4a7f-4d41-a184-7de4bb757c89,0.24,46.99
PAY-73054,INV-00948,227,131.62,wire,2024-02-26T07:15:08-05:00,completed,TXN-EHXUIPGIUJ,0.13,131.49
PAY-73055,INV-00939,331,137.85,ach,2024-02-28T20:32:27-05:00,completed,a311ad55-3ae5-471f-b493-2b18c8e6ae29,0.69,137.16
PAY-73056,INV-00148,C134,345.28,ach,2024-02-29T10:05:56-05:00,completed,TXN-LGWXZTJLAU,1.73,343.55
PAY-73057,INV-00941,348,143.13,wire,2024-02-24T11:33:16-05:00,completed,TXN-KXPLWYRBXF,0.14,142.99
