invoice_id,customer_id,subscription_id,invoice_date,due_date,amount,currency,status,line_items_count,tax_amount,total_amount,period_start,period_end,created_at
INV-00001,102,SUB-0664,2024-02-01,2024-03-02,139.04,USD,paid,3,7.79,146.83,2024-02-01,2024-02-29,2024-02-01
INV-00002,471,SUB-0081,2024-02-01,2024-03-02,151.19,USD,paid,1,6.96,158.15,2024-02-01,2024-02-29,2024-02-01
INV-00003,182,SUB-0301,2024-02-01,2024-03-02,53.5,USD,paid,4,5.24,58.74,2024-02-01,2024-02-29,2024-02-01
INV-00004,141,SUB-0399,2024-02-01,2024-03-02,374.09,USD,paid,5,19.31,393.4,2024-02-01,2024-02-29,2024-02-01
INV-00005,114,SUB-0032,2024-02-01,2024-03-02,381.12,USD,paid,2,9.83,390.95,2024-02-01,2024-02-29,2024-02-01
INV-00006,333,SUB-0162,2024-02-01,2024-03-02,46.76,USD,paid,5,2.7,49.46,2024-02-01,2024-02-29,2024-02-01
INV-00007,370,SUB-0739,2024-02-01,2024-03-02,0.0,USD,pending,4,0.0,0.0,2024-02-01,2024-02-29,2024-02-01
INV-00008,269,SUB-0561,2024-02-01,2024-03-02,135.38,USD,paid,7,12.18,147.56,2024-02-01,2024-02-29,2024-02-01
INV-00009,163,SUB-0066,2024-02-01,2024-03-02,160.0,USD,paid,2,12.38,172.38,2024-02-01,2024-02-29,2024-02-01
INV-00010,222,SUB-0030,2024-02-01,2024-03-02,366.54,USD,pending,3,27.24,393.78,2024-02-01,2024-02-29,2024-02-01
INV-00011,083,SUB-0350,2024-02-01,2024-03-02,410.3,USD,paid,2,23.97,434.27,2024-02-01,2024-02-29,2024-02-01
INV-00012,234,SUB-0474,2024-02-01,2024-03-02,135.91,USD,paid,5,7.73,143.64,2024-02-01,2024-02-29,2024-02-01
INV-00013,159,SUB-0554,2024-02-01,2024-03-02,53.81,usd,disputed,2,0.59,54.4,2024-02-01,2024-02-29,2024-02-01
INV-00014,088,SUB-0259,2024-02-01,2024-03-02,144.12,USD,paid,5,0.48,144.6,2024-02-01,2024-02-29,2024-02-01
INV-00015,344,SUB-0788,2024-02-01,2024-03-02,986.26,USD,paid,4,50.56,1036.82,2024-02-01,2024-02-29,2024-02-01
INV-00016,339,SUB-0257,2024-02-01,2024-03-02,422.81,USD,paid,5,26.39,449.2,2024-02-01,2024-02-29,2024-02-01
INV-00017,136,SUB-0779,2024-02-01,2024-03-02,44.9,USD,paid,6,0.01,44.91,2024-02-01,2024-02-29,2024-02-01
INV-00018,283,SUB-0706,2024-02-01,2024-03-02,420.82,USD,paid,1,41.88,462.7,2024-02-01,2024-02-29,2024-02-01
INV-00019,061,SUB-0784,2024-02-01,2024-03-02,47.2,USD,paid,3,3.92,51.12,2024-02-01,2024-02-29,2024-02-01
INV-00020,040,SUB-0127,2024-02-01,2024-03-02,1090.73,USD,paid,5,61.67,1152.4,2024-02-01,2024-02-29,2024-02-01
INV-00021,117,SUB-0486,2024-02-01,2024-03-02,160.22,USD,paid,6,14.47,174.69,2024-02-01,2024-02-29,2024-02-01
INV-00022,466,SUB-0722,2024-02-01,2024-03-02,51.85,USD,pending,5,2.33,54.18,2024-02-01,2024-02-29,2024-02-01
INV-00023,061,SUB-0784,2024-02-01,2024-03-02,47.2,USD,paid,3,4.46,51.66,2024-02-01,2024-02-29,2024-02-01
INV-00024,065,SUB-0018,2024-02-01,2024-03-02,400.53,USD,paid,7,4.78,405.31,2024-02-01,2024-02-29,2024-02-01
INV-00025,088,SUB-0544,2024-02-01,2024-03-02,162.24,USD,paid,7,13.95,176.19,2024-02-01,2024-02-29,2024-02-01
INV-00026,018,SUB-0147,2024-02-01,2024-03-02,154.31,USD,paid,4,6.56,160.87,2024-02-01,2024-02-29,2024-02-01
INV-00027,134,SUB-0618,2024-02-01,2024-03-02,102.95,USD,paid,5,5.68,108.63,2024-02-01,2024-02-29,2024-02-01
INV-00028,319,SUB-0673,2024-02-01,2024-03-02,151.85,USD,paid,3,3.26,155.11,2024-02-01,2024-02-29,2024-02-01
INV-00029,296,SUB-0548,2024-02-01,2024-03-02,398.84,USD,overdue,6,39.02,437.86,2024-02-01,2024-02-29,2024-02-01
INV-00030,283,SUB-0126,2024-02-01,2024-03-02,158.02,USD,paid,7,14.93,172.95,2024-02-01,2024-02-29,2024-02-01
INV-00031,428,SUB-0151,2024-02-01,2024-03-02,152.57,USD,paid,7,4.96,157.53,2024-02-01,2024-02-29,2024-02-01
INV-00032,144,SUB-0481,2024-02-01,2024-03-02,156.66,USD,paid,7,14.15,170.81,2024-02-01,2024-02-29,2024-02-01
INV-00033,482,SUB-0503,2024-02-01,2024-03-02,0.0,USD,paid,5,0.0,0.0,2024-02-01,2024-02-29,2024-02-01
INV-00034,413,SUB-0524,2024-02-01,2024-03-02,155.48,USD,pending,5,7.47,162.95,2024-02-01,2024-02-29,2024-02-01
INV-00035,450,SUB-0095,2024-02-01,2024-03-02,407.15,USD,paid,5,4.84,411.99,2024-02-01,2024-02-29,2024-02-01
INV-00036,349,SUB-0175,2024-02-01,2024-03-02,390.74,USD,paid,6,22.48,413.22,2024-02-01,2024-02-29,2024-02-01
INV-00037,315,SUB-0245,2024-02-01,2024-03-02,162.94,USD,paid,1,2.77,165.71,2024-02-01,2024-02-29,2024-02-01
INV-00038,452,SUB-0592,2024-02-01,2024-03-02,434.99,USD,paid,4,5.41,440.4,2024-02-01,2024-02-29,2024-02-01
INV-00039,157,SUB-0749,2024-02-01,2024-03-02,137.42,USD,paid,4,3.54,140.96,2024-02-01,2024-02-29,2024-02-01
INV-00040,299,SUB-0468,2024-02-01,2024-03-02,373.82,USD,paid,7,7.69,381.51,2024-02-01,2024-02-29,2024-02-01
INV-00041,434,SUB-0504,2024-02-01,2024-03-02,-151.02,USD,paid,6,0.0,-151.02,2024-02-01,2024-02-29,2024-02-01
INV-00042,159,SUB-0554,2024-02-01,2024-03-02,53.81,USD,overdue,6,5.03,58.84,2024-02-01,2024-02-29,2024-02-01
INV-00043,277,SUB-0132,2024-02-01,2024-03-02,401.59,USD,paid,1,11.66,413.25,2024-02-01,2024-02-29,2024-02-01
INV-00044,253,SUB-0629,2024-02-01,2024-03-02,422.96,USD,paid,7,36.54,459.5,2024-02-01,2024-02-29,2024-02-01
INV-00045,481,SUB-0451,2024-02-01,2024-03-02,52.29,USD,paid,1,1.51,53.8,2024-02-01,2024-02-29,2024-02-01
INV-00046,071,SUB-0241,2024-02-01,2024-03-02,407.8,USD,paid,5,17.89,425.69,2024-02-01,2024-02-29,2024-02-01
INV-00047,299,SUB-0665,2024-02-01,2024-03-02,92.97,USD,paid,6,3.81,96.78,2024-02-01,2024-02-29,2024-02-01
INV-00048,267,SUB-0351,2024-02-01,2024-03-02,48.84,USD,disputed,7,4.23,53.07,2024-02-01,2024-02-29,2024-02-01
INV-00049,061,SUB-0418,2024-02-01,2024-03-02,158.24,USD,paid,2,12.69,170.93,2024-02-01,2024-02-29,2024-02-01
INV-00050,461,SUB-0530,2024-02-01,2024-03-02,415.35,USD,paid,6,10.55,425.9,2024-02-01,2024-02-29,2024-02-01
INV-00051,013,SUB-0429,2024-02-01,2024-03-02,396.68,USD,paid,2,6.35,403.03,2024-02-01,2024-02-29,2024-02-01
INV-00052,398,SUB-0745,2024-02-01,2024-03-02,161.41,USD,paid,4,2.05,163.46,2024-02-01,2024-02-29,2024-02-01
INV-00053,031,SUB-0619,2024-02-01,2024-03-02,0.0,USD,paid,1,0.0,0.0,2024-02-01,2024-02-29,2024-02-01
INV-00054,165,SUB-0646,2024-02-01,2024-03-02,49.2,USD,paid,3,1.68,50.88,2024-02-01,2024-02-29,2024-02-01
INV-00055,249,SUB-0183,2024-02-01,2024-03-02,47.84,USD,paid,3,4.05,51.89,2024-02-01,2024-02-29,2024-02-01
INV-00056,150,SUB-0353,2024-02-01,2024-03-02,45.02,USD,paid,1,4.04,49.06,2024-02-01,2024-02-29,2024-02-01
INV-00057,481,SUB-0451,2024-02-01,2024-03-02,52.29,USD,paid,1,4.54,56.83,2024-02-01,2024-02-29,2024-02-01
INV-00058,369,SUB-0557,2024-02-01,2024-03-02,386.21,USD,paid,3,19.03,405.24,2024-02-01,2024-02-29,2024-02-01
INV-00059,468,SUB-0409,2024-02-01,2024-03-02,161.19,USD,paid,5,3.31,164.5,2024-02-01,2024-02-29,2024-02-01
INV-00060,370,SUB-0739,2024-02-01,2024-03-02,0.0,USD,paid,5,0.0,0.0,2024-02-01,2024-02-29,2024-02-01
INV-00061,268,SUB-0648,2024-02-01,2024-03-02,421.97,USD,paid,5,25.38,447.35,2024-02-01,2024-02-29,2024-02-01
INV-00062,117,SUB-0486,2024-02-01,2024-03-02,160.22,USD,void,6,3.28,163.5,2024-02-01,2024-02-29,2024-02-01
INV-00063,361,SUB-0727,2024-02-01,2024-03-02,143.98,USD,pending,5,8.12,152.1,2024-02-01,2024-02-29,2024-02-01
INV-00064,391,SUB-0112,2024-02-01,2024-03-02,419.44,USD,paid,1,2.56,422.0,2024-02-01,2024-02-29,2024-02-01
INV-00065,279,SUB-0158,2024-02-01,2024-03-02,146.35,USD,paid,5,9.51,155.86,2024-02-01,2024-02-29,2024-02-01
INV-00066,325,SUB-0244,2024-02-01,2024-03-02,53.87,USD,paid,2,4.37,58.24,2024-02-01,2024-02-29,2024-02-01
INV-00067,399,SUB-0105,2024-02-01,2024-03-02,148.62,USD,paid,5,2.65,151.27,2024-02-01,2024-02-29,2024-02-01
INV-00068,428,SUB-0125,2024-02-01,2024-03-02,47.42,USD,paid,4,2.71,50.13,2024-02-01,2024-02-29,2024-02-01
INV-00069,091,SUB-0564,2024-02-01,2024-03-02,52.94,USD,paid,5,2.61,55.55,2024-02-01,2024-02-29,2024-02-01
